nroPaginaAtual;nroTotalPaginas;nroTotalRegistros;qtdRegistrosPorPagina;qtdRegistrosPaginaAtual;dataHoraInicio;dataHoraFim;id;idEvento;periodoReferencia;codigoIF;contrato;valorParcelaDesconto;cpf;codigo;descricao;numeroInscricaoEmpregador;matricula;dataHoraInclusaoDataprev;valorParcela;existeTrabalhadorEscriturado;existeNumeroContratoEscriturado;vinculoCorreto;instituicaoFinanceiraCorreta;valorParcelaCorreta;dadosCorrespondentes;codigo;descricao Evento de remuneracao
1;2;160;80;80;22022026000000;22022026195100;1038;138;202312;393;3868;727873.35;33925810463;1;CNPJ;3495672000103;11153706045;22022026195013;727873.35;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1019;119;202312;393;3657;7425.77;23377302557;1;CNPJ;3495672000103;11153706026;22022026195013;317425.77;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1039;139;202312;393;3869;748961.24;9758937693;1;CNPJ;3495672000103;11153706046;22022026195013;748961.24;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1054;154;202312;393;4135;790571.91;42483644503;1;CNPJ;3495672000103;11153706061;22022026195013;790571.91;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1014;114;202312;393;3601;7957234.64;47342137715;1;CNPJ;3495672000103;11153706021;22022026195013;7957234.64;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1035;135;202312;393;3821;79920.84;62725233780;1;CNPJ;3495672000103;11153706042;22022026195013;79920.84;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1066;166;202312;393;4287;809433.52;92528940807;1;CNPJ;3495672000103;11153706073;22022026195013;809433.52;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;1;Evento n? peri?ico (desligamento ou t?mino de v?culo)
1;2;160;80;80;22022026000000;22022026195100;1044;144;202312;393;3992;8505938.59;31754026664;1;CNPJ;3495672000103;11153706051;22022026195013;8505938.59;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1045;145;202312;393;3516;885103.01;31100000000;1;CNPJ;3495672000103;11153706008;22022026195013;885103.01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1046;146;202312;393;299;4195.57;31100000001;1;CNPJ;3495672000103;11153706009;22022026195013;4195.57;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1047;147;202312;393;248;377.6;31100000002;1;CNPJ;3495672000103;11153706010;22022026195013;377.6;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1048;148;202312;393;264;2875.21;31100000003;1;CNPJ;3495672000103;11153706011;22022026195013;2875.21;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1049;149;202312;393;280;2875.21;31100000004;1;CNPJ;3495672000103;11153706012;22022026195013;2875.21;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1050;150;202312;393;281;2875.21;31100000005;1;CNPJ;3495672000103;11153706013;22022026195013;2875.21;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1051;151;202312;393;353;166.72;31100000006;1;CNPJ;3495672000103;11153706014;22022026195013;166.72;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1052;152;202312;393;89;1983.48;31100000007;1;CNPJ;3495672000103;11153706015;22022026195013;1983.48;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1053;153;202312;393;30;377.42;31100000008;1;CNPJ;3495672000103;11153706016;22022026195013;377.42;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1054;154;202312;393;3516;885103.01;31100000009;1;CNPJ;3495672000103;11153706017;22022026195013;885103.01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1055;155;202312;393;3606;1151110.96;31100000010;1;CNPJ;3495672000103;11153706018;22022026195013;1151110.96;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1056;156;202312;393;3696;3275055.1;31100000011;1;CNPJ;3495672000103;11153706019;22022026195013;3275055.1;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1057;157;202312;393;3702;2673809.76;31100000012;1;CNPJ;3495672000103;11153706020;22022026195013;2673809.76;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1058;158;202312;393;3755;1052080.78;31100000013;1;CNPJ;3495672000103;11153706021;22022026195013;1052080.78;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1059;159;202312;393;4196;1926566.69;31100000014;1;CNPJ;3495672000103;11153706022;22022026195013;1926566.69;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1060;160;202312;393;4016;2034843.8;31100000015;1;CNPJ;3495672000103;11153706023;22022026195013;2034843.8;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
39339061;3532;1;1/31/2024 12:00:00 AM;1331874.65;0;;;;;;;;;;;;;;;;;;;;;;
39339045;3516;1;1/31/2024 12:00:00 AM;885103.01;885103.01;;;;;;;;;;;;;;;;;;;;;;
39339135;3606;1;1/31/2024 12:00:00 AM;1151110.96;1151110.96;;;;;;;;;;;;;;;;;;;;;;
39339225;3696;1;1/31/2024 12:00:00 AM;3275055.1;3275055.1;;;;;;;;;;;;;;;;;;;;;;
39339231;3702;1;1/31/2024 12:00:00 AM;2673809.76;2673809.76;;;;;;;;;;;;;;;;;;;;;;
39339284;3755;1;1/31/2024 12:00:00 AM;1052080.78;1052080.78;;;;;;;;;;;;;;;;;;;;;;
39339729;4196;1;1/31/2024 12:00:00 AM;1926566.69;1926566.69;;;;;;;;;;;;;;;;;;;;;;
39339549;4016;1;1/31/2024 12:00:00 AM;2034843.8;2034843.8;;;;;;;;;;;;;;;;;;;;;;
